lon	lat	OBJECTID	NAME	WEB_URL	EXIT_TO_ST	LINE
-77.03934469	38.90125242	1	Farragut West	http://www.wmata.com/rail/station_detail.cfm?station_id=38	SE CORNER OF 17TH STREET NW AND I STREET NW	"blue, orange"
-77.05046475	38.90090289	2	Foggy Bottom | GWU	http://www.wmata.com/rail/station_detail.cfm?station_id=40	NW CORNER OF 23RD STREET NW AND I STREET NW	"blue, orange"
-76.94675067	38.89876265	3	Minnesota Ave	http://www.wmata.com/rail/station_detail.cfm?station_id=64	NW SIDE OF MINNESOTA AVENUE NE	orange
-77.02681716	38.8981638	4	Metro Center	http://www.wmata.com/rail/station_detail.cfm?station_id=1	SE CORNER OF G STREET NW AND 11TH STREET NW	"red, blue, orange"
-77.00720207	38.89749219	5	Union Station	http://www.wmata.com/rail/station_detail.cfm?station_id=25	NE CORNER OF 1ST STREET NE AND MASSACHUSETTS AVENUE NE	red
-77.01598703	38.89532182	6	Judiciary Sq	http://www.wmata.com/rail/station_detail.cfm?station_id=23	NE CORNER OF 4TH STREET NW AND INDIANA AVENUE NW	red
-77.02865801	38.89381031	7	Federal Triangle	http://www.wmata.com/rail/station_detail.cfm?station_id=53	RONALD REAGAN BUILDING - WEST SIDE OF 12TH STREET NW BETWEEN PENNSYLVANIA AVENUE NW AND CONSTITUTION AVENUE NW	"blue, orange"
-77.02243966	38.89394417	8	Archives | Navy Mem	http://www.wmata.com/rail/station_detail.cfm?station_id=81	NW CORNER OF 7TH STREET NW AND PENNSYLVANIA AVENUE NW	"green,yellow"
-77.02157749	38.8862549	9	L'Enfant Plaza	http://www.wmata.com/rail/station_detail.cfm?station_id=82	SE CORNER OF 7TH STREET SW AND MARYLAND AVENUE SW	"green, yellow, orange, blue"
-77.02845663	38.88725487	10	Smithsonian	http://www.wmata.com/rail/station_detail.cfm?station_id=54	SW CORNER OF INDEPENDENCE AVENUE SW AND 12TH STREET SW	"blue, orange"
-76.97704578	38.88566309	11	Stadium | Armory	http://www.wmata.com/rail/station_detail.cfm?station_id=63	NE CORNER OF 19TH STREET SE AND C STREET SE	"blue, orange"
-77.00605462	38.88556979	12	Capitol South	http://www.wmata.com/rail/station_detail.cfm?station_id=59	WEST SIDE OF 1ST STREET SE BETWEEN C STREET SE AND D STREET SE	"blue, orange"
-76.9958153	38.88425287	13	Eastern Market	http://www.wmata.com/rail/station_detail.cfm?station_id=60	SOUTH SIDE OF PENNSYLVANIA AVENUE SE BETWEEN 7TH STREET SE AND 8TH STREET SE	"blue, orange"
-76.98517369	38.88084653	14	Potomac Ave	http://www.wmata.com/rail/station_detail.cfm?station_id=61	NE CORNER OF 14TH STREET SE AND POTOMAC AVENUE SE	"blue, orange"
-77.00449748	38.87667675	15	Navy Yard-Ballpark	http://www.wmata.com/rail/station_detail.cfm?station_id=84	NW CORNER OF NEW JERSEY AVENUE SE AND M STREET SE	green
-77.01755756	38.87696202	16	Waterfront	http://www.wmata.com/rail/station_detail.cfm?station_id=83	NE CORNER OF M STREET SW AND 4TH STREET SW	green
-77.08500576	38.95890221	17	Friendship Heights Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=11	WEST SIDE OF WISCONSIN AVENUE NW BETWEEN JENIFER STREET NW AND INGOMAR STREET NW	red
-77.02174916	38.89784547	18	Gallery Pl | Chinatown Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=21	NE CORNER OF 7TH STREET NW AND F STREET NW	"red, green, yellow"
-77.0174525	38.89682971	19	Judiciary Sq NE Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=23	SOUTH SIDE OF F STREET NW BETWEEN 4TH STREET NW AND 5TH STREET NW	red
-77.01765654	38.8966537	20	Judiciary Sq SW Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=23	SOUTH SIDE OF F STREET NW BETWEEN 4TH STREET NW AND 5TH STREET NW	red
-77.02210001	38.8859854	21	L'Enfant Plaza Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=82	SW CORNER OF 7TH STREET SW AND MARYLAND AVENUE SW	"green, yellow, orange, blue"
-76.98510798	38.88107108	22	Potomac Ave Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=61	SE CORNER OF 14TH STREET SE ANDG STREET SE	"blue, orange"
-77.0285359	38.88775696	23	Smithsonian Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=54	NW CORNER OF INDEPENDENCE AVENUE SW AND 12TH STREET SW	"blue, orange"
-76.97715411	38.88592872	24	Stadium | Armory Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=63	SE CORNER OF 19TH STREET SE AND BURKE STREET SE	"blue, orange"
-77.01782397	38.97588891	25	Takoma Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=29	NE SIDE OF CEDAR STREET NW AND BLAIR ROAD NW	red
-77.06358099	38.94397019	26	Van Ness | UDC Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=9	SW CORNER OF CONNECTICUT AVENUE AND VEAZEY STREET NW	red
-77.05287622	38.92545707	27	Woodley Park Zoo | Adams Morgan Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=7	SW CORNER OF CONNECTICUT AVENUE NW AND WOODLEY STREET NW	red
-76.99507007	38.86229836	28	Anacostia	http://www.wmata.com/rail/station_detail.cfm?station_id=85	INTERSECTION OF HOWARD ROAD SE AND SHANNON PLACE SE	green
-77.00722876	38.89839952	29	Union Station	http://www.wmata.com/rail/station_detail.cfm?station_id=25	EAST OF 1ST STREET NE AND MASSACHUSETTS AVENUE NE AND G STREET NE	red
-77.01752528	38.89705976	30	Judiciary Sq	http://www.wmata.com/rail/station_detail.cfm?station_id=23	SOUTH SIDE OF F STREET NW BETWEEN 4TH STREET NW AND 5TH STREET NW	red
-77.03242969	38.92887625	31	Columbia Heights	http://www.wmata.com/rail/station_detail.cfm?station_id=75	NE CORNER OF IRVING STREET NW AND 14TH STREET NW	"green,yellow"
-77.02348545	38.88425316	32	L'Enfant Plaza	http://www.wmata.com/rail/station_detail.cfm?station_id=82	SE CORNER OF 9TH STREET SW AND D STREET SW	"green, yellow, orange, blue"
-76.97706519	38.88829078	33	Stadium | Armory	http://www.wmata.com/rail/station_detail.cfm?station_id=63	NE CORNER OF 19TH STREET SE AND INDEPENDENCE AVENUE SE	"blue, orange"
-77.08540212	38.96074805	34	Friendship Heights	http://www.wmata.com/rail/station_detail.cfm?station_id=11	NE CORNER OF WISCONSIN AVENUE NW AND WESTERN AVENUE NW	red
-76.94712485	38.89931071	35	Minnesota Ave	http://www.wmata.com/rail/station_detail.cfm?station_id=64	SW SIDE OF KENILWORTH AVENUE NE	orange
-77.08008786	38.94828421	36	Tenleytown | AU	http://www.wmata.com/rail/station_detail.cfm?station_id=10	NW CORNER OF ABLEMARLE STREET NW AND WISCONSIN AVENUE NW	red
-77.02156742	38.89754424	37	Gallery Pl | Chinatown	http://www.wmata.com/rail/station_detail.cfm?station_id=21	NE CORNER OF 7TH STREET NW AND F STREET NW	"red, green, yellow"
-76.93744926	38.89040523	38	Benning Road	http://www.wmata.com/rail/station_detail.cfm?station_id=90	NE CORNER OF BENNING ROAD NE AND CENTRAL AVENUE NE	"blue, orange"
-76.98762043	38.84465467	39	Congress Heights	http://www.wmata.com/rail/station_detail.cfm?station_id=86	SOUTH SIDE OF ALABAMA AVENUE SE AT 13TH STREET SE	green
-77.01596219	38.88500213	40	Federal Center SW	http://www.wmata.com/rail/station_detail.cfm?station_id=58	SOUTH SIDE OF D STREET SW BETWEEN 3RD STREET SW AND 4TH STREET SW	"blue, orange"
-77.029124	38.91683081	41	U St | African Amer Civil | War Mem | Cardozo	http://www.wmata.com/rail/station_detail.cfm?station_id=73	SE CORNER  OF U STREET NW AND 13TH STREET NW	"green,yellow"
-77.02082805	38.88468934	42	L'Enfant Plaza	http://www.wmata.com/rail/station_detail.cfm?station_id=82	SOUTH SIDE OF D STREET SW BETWEEN 6TH STREET SW AND 7TH STREET SW	"green, yellow, orange, blue"
-77.00713329	38.87627832	43	Navy Yard-Ballpark	http://www.wmata.com/rail/station_detail.cfm?station_id=84	NW CORNER OF HALF STREET SE AND M STREET SE	green
-76.99602289	38.86443598	44	Anacostia	http://www.wmata.com/rail/station_detail.cfm?station_id=85	NE CORNER OF HOWARD ROAD SE AND I - 295 SE	green
-76.9877776	38.84539767	45	Congress Heights	http://www.wmata.com/rail/station_detail.cfm?station_id=86	NORTH SIDE OF ALABAMA AVENUE SE AT 13TH STREET SE	green
-77.02843744	38.88907828	46	Smithsonian	http://www.wmata.com/rail/station_detail.cfm?station_id=54	NW CORNER OF JEFFERSON DRIVE SW AND 12TH STREET SW	"blue, orange"
-77.03485716	38.90116214	47	McPherson Sq	http://www.wmata.com/rail/station_detail.cfm?station_id=36	SW CORNER OF VERMONT AVENUE NW AND I STREET NW	"blue, orange"
-76.99546645	38.86216945	48	Anacostia	http://www.wmata.com/rail/station_detail.cfm?station_id=85	INTERSECTION OF HOWARD ROAD SE AND SHANNON PLACE SE	green
-77.00382853	38.90571764	49	NoMa-Gallaudet U	http://www.wmata.com/rail/station_detail.cfm?station_id=108	NORTH SIDE OF M STREET NE AT INTERSECTION WITH DELAWARE AVENUE NE	red
-77.022081	38.89387723	50	Archives | Navy Mem Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=81	NE CORNER OF 7TH STREET NW AND PENNSYLVANIA AVENUE NW	"green,yellow"
-77.00607578	38.88518068	51	Capitol South Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=59	WEST SIDE OF 1ST STREET SE BETWEEN C STREET SE AND D STREET SE	"blue, orange"
-77.05843711	38.93577698	52	Cleveland Park Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=8	EAST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW	red
-76.99604045	38.88426112	53	Eastern Market Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=60	SOUTH SIDE OF PENNSYLVANIA AVENUE SE BETWEEN 7TH STREET SE AND 8TH STREET SE	"blue, orange"
-77.02831582	38.8937774	54	Federal Triangle Elevator	http://www.wmata.com/rail/station_detail.cfm?station_id=53	RONALD REAGAN BUILDING - WEST SIDE OF 12TH STREET NW BETWEEN PENNSYLVANIA AVENUE NW AND CONSTITUTION AVENUE NW	"blue, orange"
-77.02378099	38.89816592	55	Gallery Pl | Chinatown	http://www.wmata.com/rail/station_detail.cfm?station_id=21	SE CORNER OF 9TH STREET NW AND G STREET NW	"red, green, yellow"
-77.02165568	38.89964005	56	Gallery Pl | Chinatown	http://www.wmata.com/rail/station_detail.cfm?station_id=21	SE CORNER OF 7TH STREET NW AND H STREET NW	"red, green, yellow"
-77.02789388	38.89852655	57	Metro Center	http://www.wmata.com/rail/station_detail.cfm?station_id=1	NE CORNER OF G STREET NW AND 12TH STREET NW 	"red, blue, orange"
-77.02945222	38.89814113	58	Metro Center	http://www.wmata.com/rail/station_detail.cfm?station_id=1	SE CORNER OF G STREET NW AND 13TH STREET NW 	"red, blue, orange"
-77.02837555	38.89712765	59	Metro Center	http://www.wmata.com/rail/station_detail.cfm?station_id=1	SW CORNER OF F STREET NW AND 12TH STREET NW	"red, blue, orange"
-77.04013022	38.90358985	60	Farragut North	http://www.wmata.com/rail/station_detail.cfm?station_id=4	SW CORNER OF L STREET NW AND CONNECTICUT AVENUE NW	red
-77.03917955	38.90278148	61	Farragut North	http://www.wmata.com/rail/station_detail.cfm?station_id=4	NE CORNER OF 17TH STREET NW AND K STREET NW	red
-77.05900689	38.93614552	62	Cleveland Park	http://www.wmata.com/rail/station_detail.cfm?station_id=8	WEST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW	red
-77.06352577	38.94455553	63	Van Ness | UDC	http://www.wmata.com/rail/station_detail.cfm?station_id=9	NW CORNER OF CONNECTICUT AVENUE NW AND VEAZEY TERRACE NW	red
-77.06399597	38.94447618	64	Van Ness | UDC	http://www.wmata.com/rail/station_detail.cfm?station_id=9	NE CORNER OF CONNECTICUT AVENUE AND VEAZEY TERRACE NW	red
-77.02471477	38.93712879	65	Georgia Ave | Petworth	http://www.wmata.com/rail/station_detail.cfm?station_id=76	WEST SIDE OF GEORGIA AVENUE NW BETWEEN QUINCY STREET NW AND NEW HAMPSHIRE AVENUE NW	"green,yellow"
-77.02416081	38.93695143	66	Georgia Ave | Petworth	http://www.wmata.com/rail/station_detail.cfm?station_id=76	NE CORNER OF GEORGIA AVENUE NW AND NEW HAMPSHIRE AVE NW	"green,yellow"
-77.03303204	38.92861892	67	Columbia Heights	http://www.wmata.com/rail/station_detail.cfm?station_id=75	SW CORNER OF IRVING STREET NW AND 14TH STREET NW	"green,yellow"
-77.04331929	38.90868289	68	Dupont Circle	http://www.wmata.com/rail/station_detail.cfm?station_id=6	SE CORNER OF 19TH STREET NW AND DUPONT CIRCLE NW	red
-77.08576533	38.96045308	69	Friendship Heights	http://www.wmata.com/rail/station_detail.cfm?station_id=11	SW CORNER OF WISCONSIN AVENUE NW AND WESTERN AVENUE NW	red
-76.99504466	38.93383432	70	Brookland | CUA	http://www.wmata.com/rail/station_detail.cfm?station_id=27	NE CORNER OF JOHN MCCORMICK ROAD NE AND MICHIGAN AVENUE NE	red
-76.93472262	38.90826751	71	Deanwood	http://www.wmata.com/rail/station_detail.cfm?station_id=65	SOUTH SIDE OF POLK STREET NE AT OLIVE STREET NE	orange
-76.93517248	38.90856083	72	Deanwood	http://www.wmata.com/rail/station_detail.cfm?station_id=65	NORTH SIDE OF MINNESOTA AVENUE NE AT 48TH STREET NE	orange
-77.02259809	38.91278133	73	Shaw | Howard Univ	http://www.wmata.com/rail/station_detail.cfm?station_id=72	NE CORNER OF R STREET NW AND 8TH STREET NW	"green,yellow"
-77.00343047	38.90728697	74	NoMa-Gallaudet U	http://www.wmata.com/rail/station_detail.cfm?station_id=108	EAST SIDE OF 2ND STREET NE AT INTERSECTION WITH N STREET NE 	red
-77.01741557	38.97510395	75	Takoma	http://www.wmata.com/rail/station_detail.cfm?station_id=29	NE SIDE OF CEDAR STREET NW AND BLAIR ROAD NW	red
-77.00249101	38.95265387	76	Fort Totten	http://www.wmata.com/rail/station_detail.cfm?station_id=28	NORTH SIDE OF GALLOWAY STREET NE	"red, green, yellow"
-77.07946249	38.94807937	77	Tenleytown | AU	http://www.wmata.com/rail/station_detail.cfm?station_id=10	NE CORNER OF ABLEMARLE STREET NW AND WISCONSIN AVENUE NW	red
-77.05853743	38.93598468	78	Cleveland Park 	http://www.wmata.com/rail/station_detail.cfm?station_id=8	EAST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW	red
-76.99436828	38.93363034	79	Brookland | CUA	http://www.wmata.com/rail/station_detail.cfm?station_id=27	SW CORNER OF MICHIGAN AVENUE NE AND 9TH STREET NE	red
-77.05238323	38.92451004	80	Woodley Park Zoo | Adams Morgan	http://www.wmata.com/rail/station_detail.cfm?station_id=7	SE CORNER OF CONNECTICUT AVENUE NW AND 24TH STREET NW	red
-76.99607468	38.92047849	81	Rhode Island Ave	http://www.wmata.com/rail/station_detail.cfm?station_id=26	SOUTH SIDE OF RHODE ISLAND AVENUE NE AT RHODE ISLAND PLACE SHOPPING CENTER	red
-77.02596435	38.91679407	82	U St | African Amer Civil | War Mem | Cardozo	http://www.wmata.com/rail/station_detail.cfm?station_id=73	SW CORNER OF U STREET NW AND VERMONT AVENUE NW	"green,yellow"
-77.02168416	38.91450592	83	Shaw | Howard Univ	http://www.wmata.com/rail/station_detail.cfm?station_id=72	NE CORNER OF S STREET NW AND 7TH STREET NW	"green,yellow"
-77.0446177	38.91094578	84	Dupont Circle	http://www.wmata.com/rail/station_detail.cfm?station_id=6	SE CORNER OF 20TH STREET NW AND Q STREET NW	red
-77.03983385	38.90393046	85	Farragut North	http://www.wmata.com/rail/station_detail.cfm?station_id=4	NE CORNER OF L STREET NW AND CONNECTICUT AVENUE NW	red
